"Aberbeeg","Ebbw Valley Cycle Track",-3.144286,51.711165
"Aberdare","Aberdare Park",-3.460089,51.718796
"Aberdeen","Aberdeen Beach Esplanade",-2.086256,57.173898
"Aberystwyth juniors","Plas Crug Park",-4.078402,52.412885
"Aberystwyth","Plascrug Park",-4.080401,52.414546
"Abingdon","Rye Meadow, Abingdon",-1.277429,51.667957
"Acton juniors","Acton Park",-0.258062,51.507905
"Agnew","Agnew Park",-5.0349,54.908188
"Albert","Albert Park, Middlesbrough",-1.231788,54.564972
"Aldenham","Aldenham Country Park",-0.316507,51.647953
"Alderford Lake","Alderford Lake",-2.675436,52.953181
"Alderman Kneeshaw juniors","Alderman Kneeshaw Recreation Ground",-0.262291,53.769454
"Alexandra juniors, Moss Side","Alexandra Park",-2.248631,53.450725
"Alexandra juniors, Oldham","Alexandra Park",-2.104298,53.533022
"Alexandra","Alexandra Park",-2.248827,53.450142
"Alice Holt","Alice Holt Forest",-0.83814,51.168607
"Ally Pally","Alexandra Palace, Haringey",-0.12233,51.595936
"Alness","Crawl Park",-4.256669,57.694306
"Alvaston","Alvaston Park",-1.440173,52.906173
"Alyn Waters juniors","Alyn Waters Country Park",-3.018039,53.083926
"Andover juniors","Charlton Sports Fields",-1.504812,51.220901
"Andover","Charlton Lakeside, Andover",-1.512766,51.221092
"Antrim","Loughshore Park",-6.238818,54.717078
"Armagh","Palace Demesne Public Park",-6.652951,54.339812
"Armley","Armley Park",-1.590893,53.800347
"Arrow Valley","Arrow Valley Country Park",-1.910333,52.307848
"Ashford juniors","Victoria park",0.86233,51.144975
"Ashford","Victoria Park",0.864218,51.14347
"Ashlyns juniors","Ashlyns School",-0.56325,51.752028
"Ashton Court","Ashton Court, Bristol",-2.639948,51.443592
"Avenham Park juniors","Avenham and Miller Park",-2.699084,53.753281
"Aviemore","Aviemore",-3.818635,57.205275
"Aylesbury juniors","Meadowcroft Open Space",-0.829935,51.829601
"Aylesbury","Opposite the Quarrendeon & Meadowcroft C",-0.838394,51.83162
"Aylestone juniors","Aylestone Recreation Ground",-1.134248,52.609737
"Ayr","Rozelle Park",-4.624316,55.436189
"Babbs Mill","Babbs Mill Local Nature Reserve",-1.746034,52.489833
"Bailey juniors","Bailey Park",-3.016796,51.826629
"Bakewell","Hassop Station",-1.675286,53.230788
"Banbury","Spiceball park",-1.332318,52.068807
"Bangor juniors","Bangor Sportsplex",-5.709153,54.650612
"Bangor","Ward Park",-5.661693,54.660024
